StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_1,Q127,Q61,Q62,Q63,Q64,Q129,Q133,Q65,Q50,Q128,Q66,Q134,Q131,Q132,Q135_1,Q135_2,Q135_3,Q135_4,Q135_5,Q135_6,Q135_7,Q135_8,Q135_9,Q135_10,Q135_11,Q135_12,Q135_13,Q135_14,Q135_15,Q135,Q136,Q137,Q138,Q90,Q51_1,Q51_2,Q51_3,Q51_4,Q51_5,Q51_6,Q51_7,Q51_8,Q51_9,Q51_10,Q51_11,Q53,Q54,Q55,Q56,Q3,Q8,Q9,Q10,Q11,Q111_1,Q111_2,Q111_3,Q111_4,Q111_5,Q111_6,Q111_7,Q111_8,Q111_9,Q111_10,Q111_11,Q111_12,Q111_13,Q111_14,Q139,Q81,Q83,Q84,Q57,Q58,Q86,Q87,Q88,Q89,Q90,Q108,Q91,Q92,Q94,Q109,Q95,Q59,Q99,Q100,Q101,Q110,Q121,Q123,Q134,Q142,Q166,Q143,Q91,Q172_1,Q173,Q174,Q175,Q176,Q177,Q178,Q179,Q180,Q202,Q203,Q144,Q89,Q70,Q71,Q74,Q75,Q72,Q73,Q76,Q140,Q69,Q_TotalDuration
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please enter your NetID (for example, you may sign into MyBYU with jcb222). In order to receive extra credit for your participation in this study, you must enter your NetID. - NetID","Do you play video games (can be on phone, laptop, console, etc.)?",What age did you start playing video games?,"Did your parents regularly limit how much video games you played? (ex: limited amount of daily play time, chores had to be finished first, etc.)",How did your parents limit how much you played video games? (Select all that apply),"If you answered ""Other"", please explain how your parents limited how much you played video games:",What is the average amount of time you currently spend playing video games weekly? (in hours),What time(s) of day do you typically play video games on weekdays? (Select all that apply),What time(s) of day do you typically play video games on weekends? (Select all that apply),What is the typical length of a gaming session?,What types of video games do you play? (check all that apply),What types of mobile games do you play? (Select all that apply),What video game do you play the most?,What console do you play video games on? (Check all that apply),"If you selected ""Other"", what console do you use?",Rate the following statements on how they apply to you: - I would consider playing video games if I felt bored.,Rate the following statements on how they apply to you: - I would consider playing video games if I felt lonely.,Rate the following statements on how they apply to you: - I would consider playing video games if I felt depressed.,Rate the following statements on how they apply to you: - I would consider playing video games to relieve stress.,Rate the following statements on how they apply to you: - I feel happier after playing video games.,Rate the following statements on how they apply to you: - I play video games when I am alone.,Rate the following statements on how they apply to you: - I play video games with others watching me play or playing with me.,Rate the following statements on how they apply to you: - I feel when I play video games it distracts me from my normal responsibilities.,Rate the following statements on how they apply to you: - I find it difficult to stop playing video games after I start.,"Rate the following statements on how they apply to you: - I would rather play video games than watch Hulu, Netflix, TV, etc.",Rate the following statements on how they apply to you: - I get bored playing video games,"Rate the following statements on how they apply to you: - I get bored watching Hulu, Netflix, TV, etc.",Rate the following statements on how they apply to you: - I feel when I  play video games it interferes with homework or studying.,"Rate the following statements on how they apply to you: - I feel when I watch Hulu, Netflix, TV, etc. it interferes with homework or studying.",Rate the following statements on how they apply to you: - I prefer playing video games with others than playing by myself.,"Do you use Social Media (like Facebook, Twitter, Instagram, etc.)?",What social media platforms do you use? (Select all that apply),"If you selected other, please list which social media platforms you use:",How many hours do you use social media daily? (on average),Do you use social media during class?,Rate the following statements on how they apply to you: - I feel satisfied with my academic efforts.,Rate the following statements on how they apply to you: - I feel satisfied with my academic performance.,Rate the following statements on how they apply to you: - I feel like I understand my course material.,Rate the following statements on how they apply to you: - I learn best when in class.,Rate the following statements on how they apply to you: - I learn best outside of class through personal study.,Rate the following statements on how they apply to you: - I attend all of my classes.,Rate the following statements on how they apply to you: - I feel supported by my peers in my academic efforts.,Rate the following statements on how they apply to you: - I feel my professors want me to succeed.,Rate the following statements on how they apply to you: - I care more about learning material than GPA.,Rate the following statements on how they apply to you: - I feel having my laptop or phone open during class is a distraction.,Rate the following statements on how they apply to you: - I play video games during class.,"How often do you use online learning resources outside of regular course instruction (like Khan Academy, YouTube tutorials, etc.) that are not part of assigned material?",What online learning sources do you use?,"If you chose other, please list which online learning sources you use:","Regarding online learning sources, how often do you choose to learn about something not required for your coursework?",What is the highest score you received on the ACT?,"What is the highest score you received on the SAT? (if you took the SAT before 2005, select ""I took the SAT before 2005"". Otherwise, please select the range in which your highest score falls).",What is your high school unweighted GPA (4.0 maximum)?,How many credit hours are you taking this semester?,Do you have a letter on file with the University Accessibility Center (UAC) that provides academic accommodations to you?,Please select how much you agree or disagree with each of the following statements. - I have confidence in my math ability.,Please select how much you agree or disagree with each of the following statements. - I believe I have good math skills.,Please select how much you agree or disagree with each of the following statements. - I am determined to do well in my business courses because I want to achieve my academic goals.,Please select how much you agree or disagree with each of the following statements. - I am determined to do well in my business courses because I want to pursue a career in business.,Please select how much you agree or disagree with each of the following statements. - I am determined to do well in my business courses because I am interested in learning new subjects.,Please select how much you agree or disagree with each of the following statements. - I get the emotional help and support I need from my family.,Please select how much you agree or disagree with each of the following statements. - My friends really try to help me.,Please select how much you agree or disagree with each of the following statements. - I feel I can handle many things at a time.,"Please select how much you agree or disagree with each of the following statements. - When I am in a difficult situation, I can usually find my way out of it.",Please select how much you agree or disagree with each of the following statements. - My belief in myself gets me through hard times.,Please select how much you agree or disagree with each of the following statements. - I perform equally well in large classes and small classes.,Please select how much you agree or disagree with each of the following statements. - Class size affects my overall performance -- the smaller the class the better.,Please select how much you agree or disagree with each of the following statements. - I take good notes in class.,Please select how much you agree or disagree with each of the following statements. - Studying my notes improves my performance in class.,Do you regularly eat car batteries for breakfast?,What is your age?,What is your marital status?,Do you have children?,Has having children changed the amount of time you played video games?,How has your video game play time changed since having children?,Have you served a full-time mission for The Church of Jesus Christ of Latter-Day Saints?,Is English your native/first language?,What time do you typically go to sleep at night?,When do you generally wake up?,How many hours each week have you spent at a paid job this semester?,How many hours each week do you spend serving in your religious or spiritual community?,Are you a Collegiate Athlete?,Did you attend any or all of your sport's games during this semester?,Have you received an athletic scholarship?,"Approximately how many hours did you spend each week participating in extracurricular activities (for example, ROTC, performing arts groups, membership or leadership in campus clubs, etc.)?",Have you received an academic scholarship?,Are you currently on academic scholarship?,Did you transfer to BYU from another university?,From which school did you transfer?,Which semester did you begin studying at BYU?,What is your BYU GPA (4.00 maximum)?,To which gender identity do you most identify?,How do you identify your race?,"Are you a Pre-business Major, Business Minor, or neither?",What is your major?,"Do you have a parent, sibling, or close associate who works in this field?",How often did you attend this class this semester?,"Through the semester, did this class have assigned readings?",What percentage of the assigned readings do you generally have completed before attending this class? - % Readings Completed Before Class,How many hours per non-exam week do you study outside of class for this class?,How many hours per exam week do you study outside of class for this class?,How often do you use TA Office Hours for this class?,How often do you use tutors (non-TAs) for this class?,Are you in a study group for this class?,How many people (yourself included) regularly participate in your study group?,How did you find one another to form your group?,Do you teach other people principles from the class in order to help you learn the material from class?,What is your personal level of interest in this class topic?,How well do you rate your skills in this class' subject matter?,Are you retaking this class?,"Did you happen to experience a traumatic life event right before or during this semester (for example, death of a loved one, your own divorce or divorce of your parents, serious illness of self or immediate family member)?",Have you ever taken a personality test?,Please select which all of the following personality tests you have taken and remember your personality result:,What was your primary result for the True Colors test?,What was your primary result for the Big Five Personality test?,What was your result for the MBTI?,What was your primary result for the Keirsey test?,What other personality tests have you taken?,Are you still engaged in taking this survey?,"If you have any other feelings about video game usage that you have not been able to express in this survey, please express them here:",Q_TotalDuration
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID124""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150_TEXT""}","{""ImportId"":""QID126""}","{""ImportId"":""QID130""}","{""ImportId"":""QID151""}","{""ImportId"":""QID136""}","{""ImportId"":""QID125""}","{""ImportId"":""QID152""}","{""ImportId"":""QID134_TEXT""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129_TEXT""}","{""ImportId"":""QID135_1""}","{""ImportId"":""QID135_2""}","{""ImportId"":""QID135_9""}","{""ImportId"":""QID135_3""}","{""ImportId"":""QID135_4""}","{""ImportId"":""QID135_5""}","{""ImportId"":""QID135_6""}","{""ImportId"":""QID135_7""}","{""ImportId"":""QID135_8""}","{""ImportId"":""QID135_10""}","{""ImportId"":""QID135_11""}","{""ImportId"":""QID135_12""}","{""ImportId"":""QID135_13""}","{""ImportId"":""QID135_14""}","{""ImportId"":""QID135_15""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID223_TEXT""}","{""ImportId"":""QID224""}","{""ImportId"":""QID232""}","{""ImportId"":""QID137_1""}","{""ImportId"":""QID137_2""}","{""ImportId"":""QID137_3""}","{""ImportId"":""QID137_4""}","{""ImportId"":""QID137_5""}","{""ImportId"":""QID137_7""}","{""ImportId"":""QID137_8""}","{""ImportId"":""QID137_9""}","{""ImportId"":""QID137_10""}","{""ImportId"":""QID137_12""}","{""ImportId"":""QID137_13""}","{""ImportId"":""QID139""}","{""ImportId"":""QID140""}","{""ImportId"":""QID141_TEXT""}","{""ImportId"":""QID142""}","{""ImportId"":""QID3""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID111_1""}","{""ImportId"":""QID111_2""}","{""ImportId"":""QID111_3""}","{""ImportId"":""QID111_4""}","{""ImportId"":""QID111_5""}","{""ImportId"":""QID111_6""}","{""ImportId"":""QID111_7""}","{""ImportId"":""QID111_8""}","{""ImportId"":""QID111_9""}","{""ImportId"":""QID111_10""}","{""ImportId"":""QID111_11""}","{""ImportId"":""QID111_12""}","{""ImportId"":""QID111_13""}","{""ImportId"":""QID111_14""}","{""ImportId"":""QID225""}","{""ImportId"":""QID81""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID143""}","{""ImportId"":""QID144""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID108""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID94""}","{""ImportId"":""QID109""}","{""ImportId"":""QID95""}","{""ImportId"":""QID145""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100_TEXT""}","{""ImportId"":""QID101""}","{""ImportId"":""QID110_TEXT""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}","{""ImportId"":""QID220""}","{""ImportId"":""QID228_TEXT""}","{""ImportId"":""QID166""}","{""ImportId"":""QID229""}","{""ImportId"":""QID234""}","{""ImportId"":""QID172_1""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175""}","{""ImportId"":""QID176""}","{""ImportId"":""QID177""}","{""ImportId"":""QID178""}","{""ImportId"":""QID179_TEXT""}","{""ImportId"":""QID180""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID230""}","{""ImportId"":""QID231""}","{""ImportId"":""QID156""}","{""ImportId"":""QID157""}","{""ImportId"":""QID160""}","{""ImportId"":""QID161""}","{""ImportId"":""QID158""}","{""ImportId"":""QID159""}","{""ImportId"":""QID162_TEXT""}","{""ImportId"":""QID226""}","{""ImportId"":""QID155_TEXT""}","{""ImportId"":""Q_TotalDuration""}"
12/7/2019 16:52,12/7/2019 16:54,0,128.187.116.7,100,170,1,12/7/2019 16:54,R_3KUz8L4mHOWVj82,,,,,40.35949707,-111.7303009,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170
12/9/2019 10:37,12/9/2019 10:40,0,128.187.112.13,100,227,1,12/9/2019 10:40,R_2zi5CRZtaOBFjnh,,,,,40.35949707,-111.7303009,anonymous,EN,alh2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,0.5,0,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227
12/9/2019 10:48,12/9/2019 10:53,0,128.187.116.8,100,322,1,12/9/2019 10:53,R_3eIDhshLyt82N7r,,,,,40.35949707,-111.7303009,anonymous,EN,jburb98 ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"1,2",,0.5,0,7,7,7,7,6,7,6,7,4,7,1,5,1,,1,25,1,4,15,0,7,7,6,6,7,7,7,7,7,7,7,5,7,7,0,21,0,0,,,1,1,4,4,1,4,0,,,3,0,,0,,,4,0,6,0,Exercise Science ,0,6,1,100,5,5,3,0,0,,,1,5,6,0,0,0,,,,,,,1,,322
12/9/2019 10:47,12/9/2019 10:54,0,128.187.116.11,100,410,1,12/9/2019 10:54,R_31BkPIhVKTT6kq5,,,,,40.35949707,-111.7303009,anonymous,EN,tylerdm2,1,4,1,5,Weekends,4,"5,7","5,6",4,1,,Modern warfare,3,,7,7,7,7,7,7,7,7,7,7,6,6,5,7,7,1,"1,2,5",,2,0,7,7,7,7,7,7,7,7,7,7,7,6,2,,5,26,20,3.6,15,0,6,6,6,7,6,6,7,6,7,6,7,7,7,7,0,22,1,0,,,1,1,6,5,5,3,0,,,1,0,,1,Byu Idaho ,18,3.7,0,6,1,Accounting,1,6,1,100,3,6,0,0,0,,,0,1,5,0,0,0,,,,,,,0,,410
12/9/2019 10:47,12/9/2019 10:54,0,66.219.236.186,100,402,1,12/9/2019 10:54,R_330Z8tabvnk8onX,,,,,40.25840759,-111.6591034,anonymous,EN,mcoxy ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"1,2,6,8",,3,1,3,3,5,5,6,7,5,5,2,6,1,5,"2,9",,1,26,1,4,12,0,7,7,5,6,5,5,5,3,3,2,2,6,5,4,0,21,0,0,,,1,1,5,5,2,3,0,,,0,0,,1,ASU,16,3.91,1,6,1,Accounting,1,6,1,100,3,10,2,0,1,3,I met people in class.,1,5,4,1,0,0,,,,,,,0,,402
12/9/2019 10:49,12/9/2019 10:55,0,128.187.112.26,100,348,1,12/9/2019 10:55,R_OPR7URsWc1FMh8Z,,,,,40.35949707,-111.7303009,anonymous,EN,alxsmoli,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"1,8",,4,1,6,6,5,1,7,5,4,5,2,4,1,4,2,,6,0,14,3,16,0,2,3,3,4,5,4,3,5,5,5,2,5,4,4,0,19,0,0,,,0,1,6,5,5,3,0,,,2,0,,0,,,3.78,0,4,2,Public Health,0,6,1,32,6,10,1,1,0,,,1,4,3,0,0,1,5,,,,,N/A,1,Nope.,348
12/9/2019 10:47,12/9/2019 10:55,0,128.187.116.7,100,495,1,12/9/2019 10:55,R_3DjXxk8jZst2LIF,,,,,40.35949707,-111.7303009,anonymous,EN,wdallinr,1,17,1,1,,2,1,3,0.5,10,,LEGO star wars,2,,5,2,2,5,4,5,2,5,2,4,5,5,2,2,3,1,"1,2,8",,0.5,1,6,6,6,5,5,6,4,6,5,2,1,2,2,,5,33,1,4,16,0,6,6,6,6,5,6,4,6,6,6,5,2,5,3,0,22,1,0,,,1,1,7,5,5,3,0,,,2,1,,0,,,3.92,0,6,1,Business strategy,0,6,1,36,0.5,2,0,0,0,,,0,6,6,0,0,0,,,,,,,1,,495
12/9/2019 10:47,12/9/2019 10:56,0,128.187.116.11,100,549,1,12/9/2019 10:56,R_28NzZcpLPeSOzv6,,,,,40.35949707,-111.7303009,anonymous,EN,whit4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"1,2",,0.5,1,5,5,5,5,6,7,6,5,7,6,1,3,"2,4,8",,6,28,1,3.8,16,0,5,5,6,6,7,7,7,7,7,7,3,5,6,6,0,21,0,0,,,1,1,4,4,4,3,0,,,1,0,,1,BYU-H,15,3.57,1,8,1,ExDM,0,6,1,100,3,6,3,0,0,,,0,5,4,0,0,1,"1,3",2,,,,,1,,549
